,Compound,Negative,Neutral,Positive,Time Stamp,Tweet Text,Tweets Ago,Twitter Handle,User
73,-0.13535270270270272,0.8111486486486487,0.1360810810810811,0.05277027027027027,Tue Sep 11 12:31:57 +0000 2018,Speeding India bus plunge kills 53 https://t.co/ORNYFnGaOp,73,@BBCWorld,BBCWorld
74,-0.13749466666666668,0.8068133333333333,0.1377866666666667,0.055400000000000005,Tue Sep 11 12:20:48 +0000 2018,Marcelo: Real Madrid defender 'admits tax fraud' in Spain https://t.co/DRNyTZZBRJ,74,@BBCWorld,BBCWorld
75,-0.13568552631578948,0.8093552631578946,0.13597368421052633,0.054671052631578954,Tue Sep 11 11:44:10 +0000 2018,Kulsoom Nawaz: Ex-Pakistan PM's wife dies in London https://t.co/CmyhXNEU5C,75,@BBCWorld,BBCWorld
76,-0.13392337662337664,0.8118311688311688,0.13420779220779222,0.053961038961038967,Tue Sep 11 11:10:32 +0000 2018,😳 https://t.co/0fxu5t7Yax,76,@BBCWorld,BBCWorld
77,-0.12404102564102565,0.8123333333333332,0.1324871794871795,0.05517948717948718,Tue Sep 11 10:50:42 +0000 2018,"RT @BBCNews: Pup stars 🎬🐶🌟

What does it take to get your dog in the movies?

https://t.co/HsDfX2nP16

(Tap your screen for best view on mo…",77,@BBCWorld,BBCWorld
78,-0.12053291139240506,0.8099620253164557,0.1329240506329114,0.05711392405063292,Tue Sep 11 10:48:04 +0000 2018,"Hurricane Florence: President Trump issues warning as storm strengthens

https://t.co/0AQbYuh3ZC https://t.co/pMz6YV0oNh",78,@BBCWorld,BBCWorld
79,-0.12498499999999998,0.8085000000000001,0.13510000000000003,0.056400000000000006,Tue Sep 11 10:46:37 +0000 2018,Didi Chuxing: China carpool service suspended indefinitely https://t.co/zwLuAKBrDO,79,@BBCWorld,BBCWorld
80,-0.12006913580246914,0.8090864197530865,0.13406172839506175,0.056851851851851855,Tue Sep 11 15:11:47 +0000 2018,"RT @VictoriaLIVE: She didn’t win the Miss America pageant, but stole the show with this 8-second statement:

“From the state with 84% of th…",80,@BBCWorld,BBCWorld
81,-0.11860487804878049,0.8114146341463415,0.13242682926829272,0.05615853658536586,Tue Sep 11 15:01:11 +0000 2018,"RT @bbctms: Rishabh Pant is the youngest man to score a Test century for India since Ajay Ratra did it back in May 2002. 

Live: 
📻📱💻🎥 http…",81,@BBCWorld,BBCWorld
82,-0.11717590361445783,0.8136867469879518,0.13083132530120484,0.05548192771084338,Tue Sep 11 14:59:02 +0000 2018,"""This field is now a monument to American defiance... America will never ever submit to tyranny"" - President Trump… https://t.co/VgnzZ4gySS",82,@BBCWorld,BBCWorld
83,-0.11700357142857143,0.8139166666666666,0.13126190476190477,0.054821428571428577,Tue Sep 11 14:58:35 +0000 2018,Russia's Navalny challenged to a duel by Zolotov https://t.co/3rMY5SuObE,83,@BBCWorld,BBCWorld
84,-0.12386588235294119,0.8133529411764706,0.13247058823529415,0.0541764705882353,Tue Sep 11 14:57:03 +0000 2018,"“We grieve together for every mother and father, sister and brother, son and daughter who was stolen from us” - Pre… https://t.co/eHmjkBRc46",84,@BBCWorld,BBCWorld
